com.noahsloan.atg_atg-resolver_1.0,org.apache.ivy_ivy
org.apache.openwebbeans_atinject-tck_1.0.0-M4,org.atinject_inject-tck
org.apache.openwebbeans_atinject-tck_1.0.0-M4,org.apache.geronimo.specs_geronimo-atinject_1.0_spec
org.apache.openwebbeans_atinject-tck_1.0.0-M4,org.apache.openwebbeans_openwebbeans-porting
org.apache.openwebbeans_atinject-tck_1.0.0-M4,junit_junit
org.apache.openwebbeans_atinject-tck_1.0.0-M4,org.apache.openejb_openejb-core
org.apache.openwebbeans_atinject-tck_1.0.0-M4,org.apache.geronimo.specs_geronimo-validation_1.0_spec
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-1,javax.inject_javax.inject-tck
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-1,org.apache.geronimo.specs_geronimo-atinject_1.0_spec
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-1,org.apache.openwebbeans_openwebbeans-porting
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-1,junit_junit
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-1,org.apache.openejb_openejb-core
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-1,org.apache.geronimo.specs_geronimo-validation_1.0_spec
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-2,javax.inject_javax.inject-tck
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-2,org.apache.geronimo.specs_geronimo-atinject_1.0_spec
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-2,org.apache.openwebbeans_openwebbeans-porting
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-2,junit_junit
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-2,org.apache.openejb_openejb-core
org.apache.openwebbeans_atinject-tck_1.0.0-alpha-2,org.apache.geronimo.specs_geronimo-validation_1.0_spec
org.apache.openwebbeans_atinject-tck_1.0.0,javax.inject_javax.inject-tck
org.apache.openwebbeans_atinject-tck_1.0.0,org.apache.geronimo.specs_geronimo-atinject_1.0_spec
org.apache.openwebbeans_atinject-tck_1.0.0,org.apache.openwebbeans_openwebbeans-porting
org.apache.openwebbeans_atinject-tck_1.0.0,junit_junit
org.apache.openwebbeans_atinject-tck_1.0.0,org.apache.openejb_openejb-core
org.apache.openwebbeans_atinject-tck_1.0.0,org.apache.geronimo.specs_geronimo-validation_1.0_spec
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.5,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.5,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.5,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.5,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.1,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.1,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.1,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.1,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.2,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.2,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.2,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.8.2,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.9,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.9,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.9,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.9,commons-httpclient_commons-httpclient
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.9,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,xml-apis_xml-apis
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,org.apache.ws.commons.util_ws-commons-util
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,cglib_cglib-full
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,javax.servlet_servlet-api
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.1,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,xml-apis_xml-apis
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,org.apache.ws.commons.util_ws-commons-util
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,cglib_cglib-full
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,javax.servlet_servlet-api
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.8.2,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,xml-apis_xml-apis
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,org.apache.ws.commons.util_ws-commons-util
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,cglib_cglib-full
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,javax.servlet_servlet-api
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,commons-httpclient_commons-httpclient
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.9,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.5,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.5,commons-io_commons-io
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.5,org.mortbay.jetty_jetty-servlet-tester
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.5,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.1,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.1,commons-io_commons-io
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.1,org.mortbay.jetty_jetty-servlet-tester
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.1,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.2,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.2,commons-io_commons-io
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.2,org.mortbay.jetty_jetty-servlet-tester
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.8.2,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.9,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.9,commons-io_commons-io
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.9,org.mortbay.jetty_jetty-servlet-tester
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.9,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.2,javax.servlet_servlet-api
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.2,org.springframework_spring-web
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.2,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.2,org.springframework_spring-test
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.2,junit_junit
