adarwin,1.0,adarwin,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=adarwin&a=adarwin&v=1.0&e=pom, ,
addressing,1.1,net.sourceforge.addressing,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=net.sourceforge.addressing&a=addressing&v=1.1&e=pom,SCM[scm:svn:http://addressing.svn.sourceforge.net/svnroot/addressing/;http://addressing.svn.sourceforge.net/viewvc/addressing],
addressing,1.1.1,net.sourceforge.addressing,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=net.sourceforge.addressing&a=addressing&v=1.1.1&e=pom,SCM[scm:svn:http://addressing.svn.sourceforge.net/svnroot/addressing/;http://addressing.svn.sourceforge.net/viewvc/addressing],
adl,0.1,org.objectweb.fractal.bf,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf&a=adl&v=0.1&e=pom,SCM[scm:svn:svn+ssh://svn.forge.objectweb.org/svnroot/fractal/tags/FRACTAL_BF_0_1//adl;scm:svn:svn+ssh://svn.forge.objectweb.org/svnroot/fractal/tags/FRACTAL_BF_0_1//adl],
adl-rmi,0.2,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-rmi&v=0.2&e=pom, ,
adl-rmi,0.3,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-rmi&v=0.3&e=pom, ,
adl-rmi,0.4,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-rmi&v=0.4&e=pom, ,
adl-ws,0.2,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-ws&v=0.2&e=pom, ,
adl-ws,0.3,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-ws&v=0.3&e=pom, ,
adl-ws,0.4,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-ws&v=0.4&e=pom, ,
adl-backend,0.1-alpha-1,org.objectweb.fractal.mind.compiler,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.mind.compiler&a=adl-backend&v=0.1-alpha-1&e=pom, ,
adl-frontend,0.1-alpha-1,org.objectweb.fractal.mind.compiler,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.mind.compiler&a=adl-frontend&v=0.1-alpha-1&e=pom, ,
adl-parser,0.1-alpha-1,org.objectweb.fractal.mind.compiler,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.mind.compiler&a=adl-parser&v=0.1-alpha-1&e=pom, ,
