agimatec-tools,2.5.0,de.viaboxx,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=de.viaboxx&a=agimatec-tools&v=2.5.0&e=pom,SCM[scm:svn:http://agimatec-tools.googlecode.com/svn/tags/agimatec-tools-2.5.0;http://agimatec-tools.googlecode.com/svn/tags/agimatec-tools-2.5.0],
aglj40,4.5.1.21328,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.5.1.21328&e=pom, ,
aglj40,4.5.0.20967,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.5.0.20967&e=pom, ,
aglj40,4.5.0.19786,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.5.0.19786&e=pom, ,
aglj40,4.5.0.18623,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.5.0.18623&e=pom, ,
aglj40,4.5.0.17855,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.5.0.17855&e=pom, ,
aglj40,4.5.0.17689,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.5.0.17689&e=pom, ,
aglj40,4.5.0.17077,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.5.0.17077&e=pom, ,
aglj40,4.1.0.16248,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.1.0.16248&e=pom, ,
aglj40,4.1.0.16076,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.1.0.16076&e=pom, ,
aglj40,4.1.0.15646,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.1.0.15646&e=pom, ,
aglj40,4.0.0.14159,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.0.0.14159&e=pom, ,
aglj40,4.0.0.13875,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.0.0.13875&e=pom, ,
aglj40,4.0.0.13555,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj40&v=4.0.0.13555&e=pom, ,
aglj32,3.6.0.16995,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj32&v=3.6.0.16995&e=pom, ,
aglj32,3.6.0.16321,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj32&v=3.6.0.16321&e=pom, ,
aglj32,3.5.a.12683,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj32&v=3.5.a.12683&e=pom, ,
aglj32,3.4.1.10084,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=aglj32&v=3.4.1.10084&e=pom, ,
