anakia,1.0,org.apache.anakia,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.apache.anakia&a=anakia&v=1.0&e=pom,SCM[scm:svn:http://svn.apache.org/repos/asf/velocity/anakia/tags/Anakia-1.0;http://svn.apache.org/viewvc/velocity/anakia/tags/Anakia-1.0],
anakia,1.0,velocity-anakia,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=velocity-anakia&a=anakia&v=1.0&e=pom, ,
android,1.5_r3,com.google.android,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.google.android&a=android&v=1.5_r3&e=pom,SCM[git://android.git.kernel.org/platform/manifest.git;https://android.git.kernel.org/],
android,1.5_r4,com.google.android,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.google.android&a=android&v=1.5_r4&e=pom,SCM[git://android.git.kernel.org/platform/manifest.git;https://android.git.kernel.org/],
android-test,1.5_r3,com.google.android,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.google.android&a=android-test&v=1.5_r3&e=pom,SCM[git://android.git.kernel.org/platform/manifest.git;https://android.git.kernel.org/],
android-test,1.5_r4,com.google.android,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.google.android&a=android-test&v=1.5_r4&e=pom,SCM[git://android.git.kernel.org/platform/manifest.git;https://android.git.kernel.org/],
android,1.6_r2,com.google.android,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.google.android&a=android&v=1.6_r2&e=pom,SCM[git://android.git.kernel.org/platform/manifest.git;https://android.git.kernel.org/],
android,2.1_r1,com.google.android,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.google.android&a=android&v=2.1_r1&e=pom,SCM[git://android.git.kernel.org/platform/manifest.git;https://android.git.kernel.org/],
android-test,1.6_r2,com.google.android,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.google.android&a=android-test&v=1.6_r2&e=pom,SCM[git://android.git.kernel.org/platform/manifest.git;https://android.git.kernel.org/],
android-test,2.1_r1,com.google.android,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.google.android&a=android-test&v=2.1_r1&e=pom,SCM[git://android.git.kernel.org/platform/manifest.git;https://android.git.kernel.org/],
ands-pid-client,1.0.03,net.sourceforge.andspidclient,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=net.sourceforge.andspidclient&a=ands-pid-client&v=1.0.03&e=pom,SCM[scm:svn:https://andspidclient.svn.sourceforge.net/svnroot/andspidclient/tags/ands-pid-client-1.0.03;http://andspidclient.svn.sourceforge.net/viewvc/andspidclient/tags/ands-pid-client-1.0.03],
